"","res"
"341",482.185493553319
"342",-520.158275168178
"343",-989.199656473647
"344",-2695.99080895071
"345",601.23815033272
"346",817.011583595304
"347",-458.37338175092
"348",-469.279188622706
"349",-199.412957537672
"350",978.819899736147
"351",-295.348816796257
"352",-1260.38548635773
"353",699.175011076979
"354",-2074.16311373984
"355",577.900466496452
"356",892.843014378283
"357",-622.708450842751
"358",1801.31362754069
"359",211.068508219047
"360",-305.631832585736
"361",-287.225401441967
"362",598.162588032137
"363",964.678564790389
"364",-2348.6896535611
"365",842.840265357954
